"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","trial","responses","view_history","x","y","actor","target_emotion"
"html-keyboard-response","974","3639629","0.0-22.0-1.0","","","","","","","","","","","",""
"image-keyboard-response","975","3640142","0.0-22.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","976","3642148","0.0-22.0-3.0","2005.4000000357628","","annoyed","","","attention-check","","","","","8","despondent"
"html-keyboard-response","977","3643156","0.0-24.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","978","3648385","0.0-24.0-1.0","","","","","","","","","","","",""
"image-keyboard-response","979","3648901","0.0-24.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","980","3650383","0.0-24.0-3.0","1481.1000000238419","","depressed","","","tom-labels","","","","","2","depressed"
"html-keyboard-response","981","3651390","0.0-24.0-0.1","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","982","3655687","0.0-24.0-1.1","","","","","","","","","","","",""
"image-keyboard-response","983","3656189","0.0-24.0-2.1","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","984","3660905","0.0-24.0-3.1","4714.400000035763","","imploring","","","tom-labels","","","","","8","desire"
"html-keyboard-response","985","3661912","0.0-24.0-0.2","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","986","3666287","0.0-24.0-1.2","","","","","","","","","","","",""
"image-keyboard-response","987","3666791","0.0-24.0-2.2","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","988","3667822","0.0-24.0-3.2","1029.3999999761581","","confused","","","tom-labels","","","","","8","confused"
"html-keyboard-response","989","3668827","0.0-24.0-0.3","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","990","3673697","0.0-24.0-1.3","","","","","","","","","","","",""
"image-keyboard-response","991","3674200","0.0-24.0-2.3","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","992","3676355","0.0-24.0-3.3","2153.7000000476837","","terrified","","","tom-labels","","","","","2","terrified"
"html-keyboard-response","993","3677364","0.0-24.0-0.4","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","994","3681874","0.0-24.0-1.4","","","","","","","","","","","",""
"image-keyboard-response","995","3682376","0.0-24.0-2.4","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","996","3684023","0.0-24.0-3.4","1645.3999999761581","","embarrassed","","","tom-labels","","","","","8","embarrassed"
"html-keyboard-response","997","3685034","0.0-24.0-0.5","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","998","3690424","0.0-24.0-1.5","","","","","","","","","","","",""
"image-keyboard-response","999","3690938","0.0-24.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","1000","3692269","0.0-24.0-3.5","1329.0999999642372","","imploring","","","tom-labels","","","","","2","desire"
"html-keyboard-response","1001","3693279","0.0-24.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","1002","3697529","0.0-24.0-1.6","","","","","","","","","","","",""
"image-keyboard-response","1003","3698032","0.0-24.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","1004","3699093","0.0-24.0-3.6","1059.5","","eager","","","tom-labels","","","","","8","eager"
"html-keyboard-response","1005","3700100","0.0-24.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","1006","3705461","0.0-24.0-1.7","","","","","","","","","","","",""
"image-keyboard-response","1007","3705962","0.0-24.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","1008","3707130","0.0-24.0-3.7","1166.5","","dubious","","","tom-labels","","","","","8","dubious"
"html-keyboard-response","1009","3708136","0.0-24.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","1010","3712507","0.0-24.0-1.8","","","","","","","","","","","",""
"image-keyboard-response","1011","3713014","0.0-24.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","1012","3714066","0.0-24.0-3.8","1051.6000000238419","","contented","","","tom-labels","","","","","8","contented"
"html-keyboard-response","1013","3715078","0.0-24.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","1014","3719945","0.0-24.0-1.9","","","","","","","","","","","",""
"image-keyboard-response","1015","3720454","0.0-24.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","1016","3722559","0.0-24.0-3.9","2104.300000011921","","distrustful","","","tom-labels","","","","","2","distrustful"
